date,open,high,low,close,volume,short_ma,long_ma,position,signal
1999-11-01,98.5,98.81,96.37,96.75,9551800.0,,,0,0
1999-11-02,96.75,96.81,93.69,94.81,11105400.0,,,0,0
1999-11-03,95.87,95.94,93.5,94.37,10369100.0,,,0,0
1999-11-04,94.44,94.44,90.0,91.56,16697600.0,,,0,0
1999-11-05,92.75,92.94,90.19,90.25,13737600.0,93.548,,0,0
1999-11-08,90.5,93.94,90.5,93.94,8522300.0,92.986,,0,0
1999-11-09,95.06,95.5,92.12,93.62,9551200.0,92.748,,0,0
1999-11-10,94.62,97.06,94.12,97.0,8680300.0,93.274,,0,0
1999-11-11,97.5,97.5,94.87,95.0,7147500.0,93.962,,0,0
1999-11-12,96.0,96.25,93.0,95.87,9668400.0,95.086,94.31700000000001,1,1
1999-11-15,96.0,96.37,93.87,94.06,6259400.0,95.11,94.048,1,0
1999-11-16,94.62,95.0,93.0,94.62,8537400.0,95.31,94.02900000000001,1,0
1999-11-17,94.87,94.87,92.62,93.75,8355100.0,94.66,93.96700000000001,1,0
1999-11-18,94.0,98.25,93.56,98.0,18720500.0,95.26,94.611,1,0
1999-11-19,99.0,105.12,98.37,103.94,19678400.0,96.874,95.97999999999999,1,0
1999-11-22,105.5,108.44,104.44,107.87,13681600.0,99.636,97.373,1,0
1999-11-23,108.81,109.87,106.0,106.06,10665200.0,101.924,98.617,1,0
1999-11-24,105.0,105.0,101.81,104.5,9710400.0,104.074,99.367,1,0
1999-11-26,105.94,106.0,104.12,105.0,3108400.0,105.474,100.367,1,0
1999-11-29,104.94,104.94,103.37,104.19,5677700.0,105.524,101.199,1,0
1999-11-30,103.69,104.5,102.12,103.06,5758700.0,104.56199999999998,102.099,1,0
1999-12-01,102.56,104.44,102.25,103.42,5336400.0,104.03399999999999,102.979,1,0
1999-12-02,103.44,106.31,103.37,105.27,6216900.0,104.18800000000002,104.131,1,0
1999-12-03,109.81,112.87,107.94,111.87,14680300.0,105.56199999999998,105.518,1,0
1999-12-06,113.0,116.5,112.5,116.0,9928300.0,107.924,106.724,1,0
1999-12-07,117.0,119.19,115.44,116.62,11326100.0,110.63600000000001,107.599,1,0
1999-12-08,116.25,121.0,115.5,118.28,8139800.0,113.60799999999999,108.821,1,0
1999-12-09,120.5,122.12,112.25,113.37,16643000.0,115.228,109.708,1,0
1999-12-10,111.62,111.94,107.56,109.0,12588800.0,114.654,110.10799999999999,1,0
1999-12-13,108.12,112.75,106.56,109.7,7135200.0,113.394,110.65899999999999,1,0
1999-12-14,110.19,110.19,106.87,109.25,7437900.0,111.92,111.27799999999999,1,0
1999-12-15,107.75,107.94,104.5,107.0,9437900.0,109.66400000000002,111.63600000000001,0,-1
1999-12-16,108.0,109.69,105.75,109.19,7122300.0,108.828,112.02799999999999,0,0
1999-12-17,110.69,111.06,108.62,110.0,7676800.0,109.02799999999999,111.84099999999998,0,0
1999-12-20,109.06,110.44,107.75,109.2,4836300.0,108.928,111.16099999999999,0,0
1999-12-21,108.5,110.12,108.06,110.12,4773500.0,109.102,110.51100000000001,0,0
1999-12-22,109.87,110.31,108.0,108.0,4005600.0,109.30199999999999,109.48299999999999,0,0
1999-12-23,109.12,110.44,108.19,108.62,4528700.0,109.18800000000002,109.008,1,1
1999-12-27,109.69,110.0,108.12,109.75,3740700.0,109.138,109.083,1,0
1999-12-28,109.56,110.75,109.06,109.81,4083100.0,109.25999999999999,109.09400000000001,1,0
1999-12-29,110.44,110.5,108.75,109.0,2683300.0,109.03600000000002,109.069,0,-1
1999-12-30,109.69,110.5,108.56,108.75,3435100.0,109.186,109.244,0,0
1999-12-31,109.19,109.5,106.62,107.87,2870300.0,109.03600000000002,109.112,0,0
2000-01-03,112.44,116.0,111.87,116.0,10347700.0,110.28600000000002,109.71199999999999,1,1
2000-01-04,114.0,114.5,110.87,112.06,8227800.0,110.73600000000002,109.998,1,0
2000-01-05,112.94,119.75,112.12,116.0,12733200.0,112.13600000000001,110.58600000000001,1,0
2000-01-06,118.0,118.94,113.5,114.0,7971900.0,113.186,111.186,1,0
2000-01-07,117.25,117.94,110.62,113.5,11856700.0,114.31199999999998,111.674,1,0
2000-01-10,117.25,119.37,115.37,118.0,8540500.0,114.71199999999999,112.499,1,0
2000-01-11,117.87,121.12,116.62,119.0,7873300.0,116.1,113.418,1,0
2000-01-12,119.62,122.0,118.25,119.5,6803800.0,116.8,114.468,1,0
2000-01-13,119.94,121.0,115.75,118.25,8489700.0,117.65,115.418,1,0
2000-01-14,120.94,123.31,117.5,119.62,10956600.0,118.874,116.59299999999999,1,0
2000-01-18,119.69,119.75,115.0,115.75,7643900.0,118.424,116.56799999999998,1,0
2000-01-19,115.56,122.0,112.69,119.5,8634500.0,118.524,117.31199999999998,1,0
2000-01-20,123.0,124.75,119.0,119.0,17783400.0,118.424,117.612,1,0
2000-01-21,121.87,123.0,119.94,121.5,7868700.0,119.074,118.362,1,0
2000-01-24,121.87,122.87,116.56,121.5,6499200.0,119.45,119.16199999999999,1,0
2000-01-25,116.75,119.5,116.0,119.12,6936900.0,120.124,119.274,1,0
2000-01-26,119.06,119.94,116.0,116.75,4895100.0,119.574,119.049,1,0
2000-01-27,118.0,118.44,111.62,113.5,8324600.0,118.474,118.449,1,0
2000-01-28,112.75,114.19,110.06,111.56,6669400.0,116.48600000000002,117.78,0,-1
2000-01-31,111.37,112.81,109.62,112.25,6202700.0,114.63600000000001,117.043,0,0
2000-02-01,112.37,113.44,109.12,110.0,7304700.0,112.81199999999998,116.468,0,0
2000-02-02,112.0,115.81,110.37,113.5,7707700.0,112.16199999999999,115.86800000000001,0,0
2000-02-03,115.0,117.5,114.06,117.12,6213800.0,112.88600000000001,115.68000000000002,0,0
2000-02-04,118.19,118.44,114.81,115.62,5405300.0,113.69800000000001,115.09200000000001,0,0
2000-02-07,116.0,116.87,113.12,114.12,5779500.0,114.072,114.354,0,0
2000-02-08,116.94,119.0,116.19,118.81,5464300.0,115.83400000000002,114.32300000000001,1,1
2000-02-09,119.0,119.75,117.0,117.37,5374700.0,116.60799999999999,114.38499999999999,1,0
2000-02-10,117.69,119.12,116.87,119.12,4446600.0,117.008,114.947,1,0
2000-02-11,119.06,119.44,114.56,115.37,5749400.0,116.958,115.328,1,0
2000-02-14,116.0,116.37,114.5,116.06,4544000.0,117.346,115.70900000000002,1,0
2000-02-15,115.87,117.44,113.87,117.12,5177500.0,117.008,116.421,1,0
2000-02-16,116.5,117.31,115.25,115.75,3966900.0,116.68400000000001,116.646,1,0
2000-02-17,116.5,118.87,115.75,116.75,5237500.0,116.21,116.60900000000001,0,-1
2000-02-18,115.25,115.94,111.5,112.5,7673400.0,115.63600000000001,116.297,0,0
2000-02-22,112.0,113.44,108.75,111.0,7654800.0,114.624,115.98499999999999,0,0
2000-02-23,110.5,110.5,108.5,108.75,7435300.0,112.95,114.979,0,0
2000-02-24,108.81,111.0,108.19,110.5,9112000.0,111.9,114.292,0,0
2000-02-25,109.87,109.87,104.94,108.0,10312200.0,110.15,113.17999999999999,0,0
2000-02-28,104.62,106.5,103.94,104.5,8479900.0,108.55,112.093,0,0
2000-02-29,105.56,105.56,100.94,102.75,10484900.0,106.9,110.76199999999999,0,0
2000-03-01,102.0,105.5,100.06,100.25,10807800.0,105.2,109.075,0,0
2000-03-02,100.5,105.44,99.5,103.12,11192900.0,103.724,107.81199999999998,0,0
2000-03-03,107.25,110.0,106.06,108.0,10162800.0,103.724,106.93699999999998,0,0
2000-03-06,109.94,111.0,101.0,103.06,10747400.0,103.436,105.99300000000001,0,0
2000-03-07,106.0,107.0,101.69,103.0,10035100.0,103.48600000000002,105.19300000000001,0,0
2000-03-08,103.0,106.87,102.75,106.25,8376400.0,104.686,104.94300000000001,0,0
2000-03-09,106.5,108.0,104.12,108.0,6334100.0,105.66199999999999,104.69300000000001,1,1
2000-03-10,107.62,109.0,105.0,105.25,7093200.0,105.112,104.418,1,0
2000-03-13,104.0,109.0,102.5,107.69,7871000.0,106.03800000000001,104.737,1,0
2000-03-14,107.75,110.0,107.37,108.62,7973700.0,107.16199999999999,105.324,1,0
2000-03-15,107.5,108.25,106.12,107.0,5665900.0,107.31199999999998,105.999,1,0
2000-03-16,109.0,109.81,107.87,109.0,6622500.0,107.51199999999999,106.58699999999999,1,0
2000-03-17,108.25,111.69,107.69,110.0,8857300.0,108.46199999999999,106.78699999999999,1,0
2000-03-20,110.0,113.37,109.94,112.75,6563500.0,109.474,107.756,1,0
2000-03-21,112.81,114.69,111.94,113.5,6771600.0,110.45,108.806,1,0
2000-03-22,114.5,115.37,113.87,114.25,6137800.0,111.9,109.606,1,0
2000-03-23,115.87,115.87,111.62,115.25,6492400.0,113.15,110.33099999999999,1,0
2000-03-24,115.37,122.25,115.06,120.62,12125600.0,115.274,111.86800000000001,1,0
2000-03-27,125.0,128.25,124.62,126.87,11862900.0,118.098,113.78600000000002,1,0
2000-03-28,125.75,127.0,122.06,122.5,8149600.0,119.898,115.17400000000002,1,0
2000-03-29,122.31,122.44,118.5,119.0,7312300.0,120.848,116.37400000000002,1,0
2000-03-30,118.87,123.0,118.69,122.75,9158000.0,122.348,117.74900000000002,1,0
2000-03-31,122.62,123.75,117.06,118.37,8015200.0,121.898,118.58600000000001,1,0
2000-04-03,120.0,122.37,119.44,122.0,7715600.0,120.924,119.51100000000001,1,0
2000-04-04,121.5,126.94,115.06,121.19,16667200.0,120.66199999999999,120.28000000000002,1,0
